,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,ticker
0,2022-12-31,2023-01-13,0.85,0.77,0.08,10.3896,BAC
1,2022-09-30,2022-10-17,0.81,0.77,0.04,5.1948,BAC
2,2022-06-30,2022-07-18,0.73,0.75,-0.02,-2.6667,BAC
3,2022-03-31,2022-04-18,0.8,0.75,0.05,6.6667,BAC
4,2021-12-31,2022-01-19,0.82,0.76,0.06,7.8947,BAC
5,2021-09-30,2021-10-14,0.85,0.71,0.14,19.7183,BAC
6,2021-06-30,2021-07-14,1.03,0.77,0.26,33.7662,BAC
7,2021-03-31,2021-04-15,0.86,0.66,0.2,30.303,BAC
8,2020-12-31,2021-01-19,0.59,0.55,0.04,7.2727,BAC
9,2020-09-30,2020-10-14,0.51,0.49,0.02,4.0816,BAC
10,2020-06-30,2020-07-16,0.37,0.27,0.1,37.037,BAC
11,2020-03-31,2020-04-15,0.4,0.46,-0.06,-13.0435,BAC
12,2019-12-31,2020-01-15,0.74,0.68,0.06,8.8235,BAC
13,2019-09-30,2019-10-16,0.56,0.51,0.05,9.8039,BAC
14,2019-06-30,2019-07-17,0.74,0.71,0.03,4.2254,BAC
15,2019-03-31,2019-04-16,0.7,0.66,0.04,6.0606,BAC
16,2018-12-31,2019-01-16,0.7,0.63,0.07,11.1111,BAC
17,2018-09-30,2018-10-15,0.66,0.62,0.04,6.4516,BAC
18,2018-06-30,2018-07-16,0.63,0.57,0.06,10.5263,BAC
19,2018-03-31,2018-04-16,0.62,0.59,0.03,5.0847,BAC
20,2017-12-31,2018-01-17,0.48,0.44,0.04,9.0909,BAC
21,2017-09-30,2017-10-13,0.48,0.45,0.03,6.6667,BAC
22,2017-06-30,2017-07-18,0.46,0.43,0.03,6.9767,BAC
23,2017-03-31,2017-04-18,0.41,0.35,0.06,17.1429,BAC
24,2016-12-31,2017-01-13,0.4,0.38,0.02,5.2632,BAC
25,2016-09-30,2016-10-17,0.41,0.34,0.07,20.5882,BAC
26,2016-06-30,2016-07-18,0.36,0.33,0.03,9.0909,BAC
27,2016-03-31,2016-04-14,0.21,0.21,0,0,BAC
28,2015-12-31,2016-01-19,0.29,0.26,0.03,11.5385,BAC
29,2015-09-30,2015-10-14,0.37,0.33,0.04,12.1212,BAC
30,2015-06-30,2015-07-15,0.45,0.36,0.09,25,BAC
31,2015-03-31,2015-04-15,0.27,0.29,-0.02,-6.8966,BAC
32,2014-12-31,2015-01-15,0.25,0.31,-0.06,-19.3548,BAC
33,2014-09-30,2014-10-15,-0.01,-0.09,0.08,88.8889,BAC
34,2014-06-30,2014-07-16,0.22,0.29,-0.07,-24.1379,BAC
35,2014-03-31,2014-04-16,0.1,0.05,0.05,100,BAC
36,2013-12-31,2014-01-15,0.29,0.26,0.03,11.5385,BAC
37,2013-09-30,2013-10-16,0.2,0.18,0.02,11.1111,BAC
38,2013-06-30,2013-07-17,0.32,0.25,0.07,28,BAC
39,2013-03-31,2013-04-17,0.2,0.22,-0.02,-9.0909,BAC
40,2012-12-31,2013-01-17,0.03,0.02,0.01,50,BAC
41,2012-09-30,2012-10-17,-0.0031,-0.07,0.0669,95.5714,BAC
42,2012-06-30,2012-07-18,0.17,0.14,0.03,21.4286,BAC
43,2012-03-31,2012-04-19,0.24,0.12,0.12,100,BAC
44,2011-12-31,2012-01-19,0.15,0.15,0,0,BAC
45,2011-09-30,2011-10-18,0.31,0.19,0.12,63.1579,BAC
46,2011-06-30,2011-07-19,-0.9,-0.9,0,0,BAC
47,2011-03-31,2011-04-15,0.17,0.27,-0.1,-37.037,BAC
48,2010-12-31,2011-01-21,0.04,0.14,-0.1,-71.4286,BAC
49,2010-09-30,2010-10-19,0.27,0.16,0.11,68.75,BAC
50,2010-06-30,2010-07-16,0.27,0.22,0.05,22.7273,BAC
51,2010-03-31,2010-04-16,0.28,0.09,0.19,211.1111,BAC
52,2009-12-31,2010-01-20,-0.6,-0.52,-0.08,-15.3846,BAC
53,2009-09-30,2009-10-16,-0.26,-0.21,-0.05,-23.8095,BAC
54,2009-06-30,2009-07-17,0.33,0.28,0.05,17.8571,BAC
55,2009-03-31,2009-04-20,0.44,0.05,0.39,780,BAC
56,2008-12-31,2009-01-16,-0.48,0.08,-0.56,-700,BAC
57,2008-09-30,2008-10-06,0.15,0.62,-0.47,-75.8065,BAC
58,2008-06-30,2008-07-21,0.72,0.53,0.19,35.8491,BAC
59,2008-03-31,2008-04-21,0.23,0.41,-0.18,-43.9024,BAC
60,2007-12-31,2008-01-22,0.05,0.18,-0.13,-72.2222,BAC
61,2007-09-30,2007-10-18,0.82,1.06,-0.24,-22.6415,BAC
62,2007-06-30,2007-07-19,1.28,1.2,0.08,6.6667,BAC
63,2007-03-31,2007-04-19,1.17,1.15,0.02,1.7391,BAC
64,2006-12-31,2007-01-23,1.19,1.18,0.01,0.8475,BAC
65,2006-09-30,2006-10-19,1.22,1.15,0.07,6.087,BAC
66,2006-06-30,2006-07-19,1.22,1.1,0.12,10.9091,BAC
67,2006-03-31,2006-04-20,1.08,1,0.08,8,BAC
68,2005-12-31,2006-01-23,0.94,1.02,-0.08,-7.8431,BAC
69,2005-09-30,2005-10-19,1.04,1.02,0.02,1.9608,BAC
70,2005-06-30,2005-07-18,1.08,1.01,0.07,6.9307,BAC
71,2005-03-31,2005-04-18,1.16,0.97,0.19,19.5876,BAC
72,2004-12-31,2005-01-18,0.94,0.94,0,0,BAC
73,2004-09-30,2004-10-14,0.91,0.9,0.01,1.1111,BAC
74,2004-06-30,2004-07-14,0.93,0.87,0.06,6.8966,BAC
75,2004-03-31,2004-04-14,0.92,0.89,0.03,3.3708,BAC
76,2003-12-31,2004-01-15,0.92,0.89,0.03,3.3708,BAC
77,2003-09-30,2003-10-14,0.96,0.85,0.11,12.9412,BAC
78,2003-06-30,2003-07-14,0.9,0.79,0.11,13.9241,BAC
79,2003-03-31,2003-04-14,0.8,0.74,0.06,8.1081,BAC
80,2002-12-31,2003-01-15,0.85,0.82,0.03,3.6585,BAC
81,2002-09-30,2002-10-15,0.73,0.71,0.02,2.8169,BAC
82,2002-06-30,2002-07-15,0.7,0.7,0,0,BAC
83,2002-03-31,2002-04-15,0.69,0.67,0.02,2.9851,BAC
84,2001-12-31,2002-01-22,0.64,0.62,0.02,3.2258,BAC
85,2001-09-30,2001-10-15,0.64,0.62,0.02,3.2258,BAC
86,2001-06-30,2001-07-16,0.62,0.59,0.03,5.0847,BAC
87,2001-03-31,2001-04-16,0.57,0.57,0,0,BAC
88,2000-12-31,2001-01-16,0.43,0.43,0,0,BAC
89,2000-09-30,2000-10-16,0.66,0.65,0.01,1.5385,BAC
90,2000-06-30,2000-07-17,0.62,0.62,0,0,BAC
91,2000-03-31,2000-04-17,0.67,0.62,0.05,8.0645,BAC
92,1999-12-31,2000-01-18,0.62,0.61,0.01,1.6393,BAC
93,1999-09-30,1999-10-18,0.62,0.6,0.02,3.3333,BAC
94,1999-06-30,1999-07-19,0.57,0.57,0,0,BAC
95,1999-03-31,1999-04-19,0.55,0.52,0.03,5.7692,BAC
96,1998-12-31,1999-01-19,0.46,0.46,0,0,BAC
97,1998-09-30,1998-10-14,0.25,0.43,-0.18,-41.8605,BAC
98,1998-06-30,1998-07-13,0.59,0.57,0.02,3.5088,BAC
99,1998-03-31,1998-04-13,0.59,0.53,0.06,11.3208,BAC
100,1997-12-31,1998-01-12,0.56,0.56,0,0,BAC
101,1997-09-30,1997-10-14,0.54,0.54,0,0,BAC
102,1997-06-30,1997-07-14,0.51,0.5,0.01,2,BAC
103,1997-03-31,1997-04-14,0.47,0.46,0.01,2.1739,BAC
104,1996-12-31,1997-01-13,0.54,0.53,0.01,1.8868,BAC
105,1996-09-30,1996-10-15,0.52,0.51,0.01,1.9608,BAC
106,1996-06-30,1996-07-15,0.5,0.49,0.01,2.0408,BAC
107,1996-03-31,1996-04-15,0.48,0.47,0.01,2.1277,BAC
